sourceName,authorName,title,sourceUrl,PostUrl,publishedDate
Next Big Future,Brian Wang,Merging SpaceX and Tesla Will Win AGI and Make More Money for Tesla Investors,https://www.nextbigfuture.com/2026/06/merging-spacex-and-tesla-will-win-agi-and-make-more-money-for-tesla-investors.html,https://nextbigfuture.s3.amazonaws.com/uploads/2026/06/Screenshot-2026-06-24-at-7.08.02-PM.jpg,2026-06-25T02:19:15Z
Slickdeals.net,dealz4realz4realz,Prime Members: UGREEN Phone Holder for Tesla Model 3 and Y $16.15 & More + Free S&H,https://slickdeals.net/f/19659834-ugreen-phone-holder-for-tesla-model-3-and-y-16-14-more-free-shipping,https://slickdeals.net/attachment/3/0/6/4/8/2/2/0/450x450/20758239.thumb,2026-06-25T02:13:22Z
Wwwhatsnew.com,Natalia Polo,Robot.com lanza el R-noid: el humanoide con ruedas que ya trabaja en restaurantes y almacenes sin prometer ciencia ficción,https://wwwhatsnew.com/2026/06/25/robot-com-r-noid-humanoide-ruedas-automate-2026/,https://wwwhatsnew.com/wp-content/uploads/2026/06/wwwhatsnew256.jpg,2026-06-25T02:00:52Z
Xataka.com.mx,Wilson Vega,En 12 días Elon Musk ha perdido su más reciente título: ya no es el primer billonario del planeta,https://www.xataka.com.mx/empresas-y-economia/12-dias-elon-musk-ha-perdido-su-reciente-titulo-no-primer-billonario-planeta,https://i.blogs.es/10bc82/musk/840_560.jpeg,2026-06-25T01:42:21Z
Technews.tw,中央社,SpaceX 賣壓湧現，馬斯克從全球首位兆元富豪寶座跌落,https://finance.technews.tw/2026/06/25/spacex-selling-pressure-elon-musk-drops-worlds-first-trillionaire/,https://img.technews.tw/wp-content/uploads/2024/09/10090654/shutterstock_2318800287.jpg,2026-06-25T01:10:00Z
Thoughtcatalog.com,Holden Desalles,"Spacex Got the Worst Possible Environmental Grade Right Before Its IPO, Putting It in the Same Tier MSCI Gave Putin’s Russia After It Invaded Ukraine",https://thoughtcatalog.com/holden-desalles/2026/06/spacex-got-the-worst-possible-environmental-grade-right-before-its-ipo-putting-it-in-the-same-tier-msci-gave-putins-russia-after-it-invaded-ukraine/,https://thoughtcatalog.com/wp-content/uploads/2026/06/spacex-got-the-worst-possible-environmental-grade-right-before-its-ipo-putting-i.png?w=1536&h=768&crop=1,2026-06-25T00:54:51Z
El Financiero,Bloomberg / Peter Coy,Los años veinte fueron de auge tras la pandemia… y ojalá pase de nuevo,https://www.elfinanciero.com.mx/bloomberg-businessweek/los-anos-veinte-fueron-de-auge-tras-la-pandemia-y-ojala-pase-de-nuevo/,https://www.elfinanciero.com.mx/resizer/v2/P2SVAGIUTGHBYEWIH4SRIYYYIQ.jpg?smart=true&auth=1d8d918ebd62aa21b192e51b2dc38e6be414f17ff7c96846c9bd760b8d649ef5&width=1200&height=630,2026-06-25T00:54:41Z
Crypto Briefing,Editorial Team,SpaceX executes massive IPO and explores merger with Tesla amid AI ambitions,https://cryptobriefing.com/spacex-ipo-tesla-merger-ai-ambitions/,https://static.cryptobriefing.com/wp-content/uploads/2026/06/24203524/the-spacex-falcon-9-rocket-booster-is-seen-just-seconds-befo-78-800x420.jpeg,2026-06-25T00:35:32Z
Tinhte.vn,"no-reply@tinhte.vn (cuhiep), cuhiep",Elon Musk đã mất danh hiệu tỉ phú nghìn tỉ (trillionaire) chỉ sau hơn một tuần trở thành người...,https://tinhte.vn/thread/elon-musk-da-mat-danh-hieu-ti-phu-nghin-ti-trillionaire-chi-sau-hon-mot-tuan-tro-thanh-nguoi.4155112/,https://photo2.tinhte.vn/data/attachment-files/2026/06/9048617_elonmusk.jpg,2026-06-24T23:58:56Z
Digitimes,DIGITIMES,SK Group to meet Tesla and SpaceX leadership to pursue AI-infrastructure and memory partnerships,https://www.digitimes.com/news/a20260624PD234/sk-group-spacex-tesla-xai.html,https://img.digitimes.com/newsshow/20260624pd234_files/1_2b.jpg,2026-06-24T23:51:07Z
Biztoc.com,finance.yahoo.com,Is Tesla Stock Better Than SpaceX? The Answer Might Surprise You,https://biztoc.com/x/0d3133684a2b73cf,https://biztoc.com/cdn/0d3133684a2b73cf_s.webp,2026-06-24T23:38:04Z
Biztoc.com,bbc.co.uk,Texas family sues Tesla over fatal crash into home,https://biztoc.com/x/7c0bd179c77e9cf1,https://biztoc.com/cdn/7c0bd179c77e9cf1_s.webp,2026-06-24T23:20:08Z
Slashdot.org,BeauHD,"Slate Auto's Radically Simple Electric Truck Starts At $24,950",https://tech.slashdot.org/story/26/06/24/2113207/slate-autos-radically-simple-electric-truck-starts-at-24950,https://a.fsdn.com/sd/topics/transportation_64.png,2026-06-24T23:00:00Z
Bringatrailer.com,bringatrailer,1966 Fiat 500F EV Conversion,https://bringatrailer.com/listing/1966-fiat-500f-4/,https://bringatrailer.com/wp-content/uploads/2025/05/IMG_8676-copy-2026-06-23-7qn-36063-scaled.jpeg,2026-06-24T22:50:13Z
BBC News,https://www.facebook.com/bbcnews,Texas family sues Tesla over fatal crash into home,https://www.bbc.co.uk/news/articles/c8x2rzke05yo,https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/14c8/live/fcfc06d0-7017-11f1-9ca7-8b09da4b9ec2.jpg,2026-06-24T22:33:56Z
Biztoc.com,finance.yahoo.com,"Stock Market Today, June 24: Sunrun Jumps After Announcing Deal With Tesla and Renew Home for 16 Gigawatts of Flexible Power",https://biztoc.com/x/6be9bce9e8b5d94b,https://biztoc.com/cdn/6be9bce9e8b5d94b_s.webp,2026-06-24T22:21:48Z
Biztoc.com,finance.yahoo.com,"Shares Skyrocket, What You Need To Know",https://biztoc.com/x/400a8ada0440b1f3,https://biztoc.com/cdn/400a8ada0440b1f3_s.webp,2026-06-24T22:06:33Z
OilPrice.com,Tsvetana Paraskova,Global Battery Storage Boom Is A Boon for Tesla,https://oilprice.com/Energy/Energy-General/Global-Battery-Storage-Boom-Is-A-Boon-for-Tesla.html,https://d32r1sh890xpii.cloudfront.net/article/1200x675/2026-06-24_tibovkugnq.jpg,2026-06-24T22:00:00Z
TechCrunch,Marina Temkin,"AI was supposed to kill engineering jobs, but new data suggests they're the most resilient | TechCrunch",https://techcrunch.com/2026/06/24/ai-was-supposed-to-kill-engineering-jobs-but-new-data-suggests-theyre-the-most-resilient/,"https://techcrunch.com/wp-content/uploads/2022/01/GettyImages-1250956868.jpg?resize=1200,800",2026-06-24T21:56:41Z
Latercera.com,Valeria Vega,Elon Musk deja de ser billonario tras caída en acciones se Space X y Tesla,https://www.latercera.com/pulso/noticia/elon-musk-deja-de-ser-billonario-tras-caida-en-acciones-se-space-x-y-tesla/,https://www.latercera.com/resizer/v2/TSN2A4JNESM7SKXXHP4YUKYCB4.jpg?auth=56a70d54519f2ae1bffed394060d90b3df01cad4255ebfecc2c502e4f17effc7&height=630&width=1200&smart=true,2026-06-24T21:54:25Z
Readponder.com,,A Tesla Crashed Through a Harris County Home. Is the Car to Blame?,https://www.readponder.com/essay/a-tesla-crashed-through-a-harris-county-home-is-the-car-to-blame,https://img.texasmonthly.com/2026/06/assistive-driver-tech-autonomous-vehicles-explainer.jpg?auto=compress&crop=faces&fit=fit&fm=pjpg&ixlib=php-3.3.1&q=45,2026-06-24T21:16:31Z
Biztoc.com,theguardian.com,Elon Musk loses trillionaire status as SpaceX and Tesla stock drops,https://biztoc.com/x/4f1216b90d2a7d33,https://biztoc.com/cdn/4f1216b90d2a7d33_s.webp,2026-06-24T21:04:34Z
Biztoc.com,barchart.com,"RUN Stock Pops as Sunrun Teams Up With Tesla, Renew Home on Data Centers",https://biztoc.com/x/47571f3d5364af4d,https://biztoc.com/cdn/47571f3d5364af4d_s.webp,2026-06-24T21:03:34Z
Business Insider,Rya Jetha,Humanoid robot startup Agility Robotics is going public at a $2.5 billion valuation via a SPAC,https://www.businessinsider.com/agility-robotics-spac-merger-go-public-2-5-b-valuation-2026-6#article,https://i.insider.com/6a3c3672360acd489560a8c8?width=1200&format=jpeg,2026-06-24T21:00:52Z
Ixbt.com,Dexter,Бензин — всё? Электромобили впервые обогнали бензиновые машины по продажам в Европе,https://www.ixbt.com/news/2026/06/24/benzin--vsjo-jelektromobili-vpervye-obognali-benzinovye-mashiny-po-prodazham-v-evrope.html,https://media.ixbt.site/1600x900/smart/https://www.ixbt.com/img/n1/news/2026/5/4/Model-Y-Performance-Hero-Desktop-NA%20copy_large.jpg,2026-06-24T20:58:00Z
Biztoc.com,bizjournals.com,"Daily Digest: Sunrun stock rises on Tesla data center deal, Oracle cut 21K jobs over past year",https://biztoc.com/x/045e73e8c8b59cfd,https://biztoc.com/cdn/045e73e8c8b59cfd_s.webp,2026-06-24T20:47:29Z
Al Jazeera English,Al Jazeera,"Family sues Tesla for wrongful death in Autopilot crash in Texas, US",https://www.aljazeera.com/economy/2026/6/24/family-sues-tesla-for-wrongful-death-in-autopilot-crash-in-texas-us,https://www.aljazeera.com/wp-content/uploads/2026/06/reuters_6a3c303e-1782329406.jpg?resize=1920%2C1440,2026-06-24T20:44:37Z
El Financiero,,Una demanda más para Tesla: Una mujer falleció luego de que el auto se estrellara en su casa,https://www.elfinanciero.com.mx/mundo/2026/06/24/una-demanda-mas-para-tesla-una-mujer-fallecio-luego-de-que-el-auto-se-estrellara-en-su-casa/,https://www.elfinanciero.com.mx/resizer/v2/YVXORJEOVBEPXN4BOXCSRXNVPE.jpeg?smart=true&auth=1c093a229102db0dbb53125b60eb3ad4e0e22d14f85233cf23c12788c485b566&width=1200&height=630,2026-06-24T20:33:42Z
Xataka.com,Javier Marquez,Los robots humanoides chinos despiertan cada vez más interés: Morgan Stanley casi ha duplicado sus previsiones de envíos para 2026,https://www.xataka.com/robotica-e-ia/robots-humanoides-chinos-despiertan-cada-vez-interes-morgan-stanley-casi-ha-duplicado-sus-previsiones-envios-para-2026,https://i.blogs.es/2fca9c/ubtech-robots-china/840_560.jpeg,2026-06-24T20:30:06Z
Diariobitcoin.com,Canuto,Crece el pesimismo sobre SpaceX: interés bajista alcanza el 13% de sus acciones,https://www.diariobitcoin.com/mercados/crece-el-pesimismo-sobre-spacex-interes-bajista-alcanza-el-13-de-sus-acciones/,https://diariobitcoin.b-cdn.net/wp-content/uploads/2026/06/ChatGPT-spacex-caida.jpg,2026-06-24T20:18:10Z
Abertoatedemadrugada.com,Carlos Martins,Pickup Slate começa nos $24.950,https://abertoatedemadrugada.com/2026/06/pickup-slate-comeca-nos-24950.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjdkf0drbDwoALN0EBWazdCJaisicjzOYyHvOOIHHw0mptthVoumJaR8YtYlkD9ryc9ovHmI_n_voTTQ1Tl2mTslecC7ao6otxeHwvufN2oWOh8U0_gV6Hu2gHxfkiuCDQF6lEEKkR-XAKRNvzFewdPIUhdcnztKBXZtjabLwbiKGE6hczCiFCeRB4xvBSh/w1200-h630-p-k-no-nu/SlateTruck.jpg,2026-06-24T20:00:00Z
Biztoc.com,arstechnica.com,Elon Musk denies Tesla’s Autopilot caused crash that killed grandmother,https://biztoc.com/x/2c6e66011367b892,https://biztoc.com/cdn/2c6e66011367b892_s.webp,2026-06-24T19:48:22Z
Electrek,Fred Lambert,"Tesla, Sunrun team up on 16 GW virtual power plant for data centers",http://electrek.co/2026/06/24/tesla-sunrun-16gw-vpp-data-centers/,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2026/06/Tesla-sunrun-virtual-power-plant-for-data-centers.png?resize=1200%2C628&quality=82&strip=all&ssl=1,2026-06-24T19:48:01Z
Fortune,Eva Roytburg,Elon Musk was the world’s first trillionaire for 12 days,https://fortune.com/2026/06/24/elon-musk-no-longer-trillionaire-spacex-valuation/,"https://fortune.com/img-assets/wp-content/uploads/2026/06/GettyImages-2151277367-e1782328963139.jpg?resize=1200,600",2026-06-24T19:38:07Z
Fark.com,,"Insurance Institute for Highway Safety names Cybertruck ""safest pickup truck"". Tiny penis, great protection [Interesting]",https://www.fark.com/comments/14110068/Insurance-Institute-for-Highway-Safety-names-Cybertruck-safest-pickup-truck-Tiny-penis-great-protection,https://usrimg-full.fark.net/R/Rp/fark_RpVBdb0U7MMtbSphFI3HADeC9OM.jpg?AWSAccessKeyId=JO3ELGV4BGLFW7Y3EZXN&Expires=1782705600&Signature=Axfvp4lwi8srfKF6ywdy9HSjPLE%3D,2026-06-24T19:36:00Z
Biztoc.com,youtube.com,Elon Musk Is No Longer A Trillionaire,https://biztoc.com/x/b6ae4e1df091651a,https://biztoc.com/cdn/b6ae4e1df091651a_s.webp,2026-06-24T19:35:11Z
TechCrunch,Tim De Chant,Here’s why Slate changed the battery in its cheap EV truck | TechCrunch,https://techcrunch.com/2026/06/24/heres-why-slate-changed-the-battery-in-its-cheap-ev-truck/,"https://techcrunch.com/wp-content/uploads/2025/04/Inspo_Truck_web.jpg?resize=1200,800",2026-06-24T19:31:02Z
Biztoc.com,marketwatch.com,This solar stock is surging on the heels of a new Tesla deal,https://biztoc.com/x/48bc2240657eface,https://biztoc.com/cdn/995/og.png,2026-06-24T19:30:35Z
Medianewsgroup.com,Associated Press,Agility Robotics heads to Wall Street in a $2.5B bet on staffing warehouses with humanoids,https://wirehub.medianewsgroup.com/2026/06/24/agility-robotics-heads-to-wall-street-in-a-2-5b-bet-on-staffing-warehouses-with-humanoids/,https://www.bostonherald.com/wp-content/uploads/2026/06/Agility_Robotics_IPO__5817.jpg?w=1024&h=682,2026-06-24T19:22:53Z
Diariobitcoin.com,Canuto,Este inversionista tecnológico dice que prefiere apostar por IA y el espacio antes que Bitcoin,https://www.diariobitcoin.com/mercados/este-inversionista-tecnologico-dice-que-prefiere-apostar-por-el-espacio-y-la-ia-antes-que-bitcoin/,https://diariobitcoin.b-cdn.net/wp-content/uploads/2026/06/canuto-imagine-1782328528.jpg,2026-06-24T19:22:51Z
T3n,Jörn Brien,Elon Musk verliert Billionärs-Status: So viel hat die SpaceX-Aktie seit dem IPO eingebüßt,https://t3n.de/news/elon-musk-billionaer-spacex-1749414/,https://cdn.t3n.de/news/wp-content/uploads/2025/07/shutterstock_2613492649.jpg?class=content,2026-06-24T19:12:10Z
Olhardigital.com.br,Wagner Edwards,Família processa Tesla após carro autônomo deixar uma vítima fatal no Texas,https://olhardigital.com.br/2026/06/24/carros-e-tecnologia/familia-processa-tesla-apos-carro-autonomo-deixar-uma-vitima-fatal-no-texas/,https://olhardigital.com.br/wp-content/uploads/2025/11/tesla-julgamento.jpg,2026-06-24T19:00:48Z
Biztoc.com,tippinsights.com,Why Is Tesla Being Sued Over A Fatal Texas Autopilot Crash,https://biztoc.com/x/2f8e03700fbb2825,https://biztoc.com/cdn/2f8e03700fbb2825_s.webp,2026-06-24T19:00:18Z
Fortune,Marco Quiroz-Gutierrez,CEO of $8 billion Flexport blasts remote work as ‘white-collar fraud’ and a ‘total fantasy’ for highly paid employees,https://fortune.com/2026/06/24/flexport-ceo-ryan-petersen-remote-work-comments-controversy-return-to-office/,"https://fortune.com/img-assets/wp-content/uploads/2026/06/GettyImages-1241483346-e1782326518821.jpg?resize=1200,600",2026-06-24T18:52:52Z
Yahoo Entertainment,Marco Quiroz-Gutierrez,CEO of $8 billion Flexport blasts remote work as ‘white-collar fraud’ and a ‘total fantasy’ for highly paid employees,https://finance.yahoo.com/small-business/articles/ceo-8-billion-flexport-blasts-185252343.html,https://s.yimg.com/lo/mysterio/api/6B55D44D308837C190CE821D34015B483E66DB83E1E1B0B6366193826B66EDB2/subgraphmysterio/resizefill_w1200_h756;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Ffortune_175%2Ff46786e463d0e69fe99b8dd968168bb6,2026-06-24T18:52:52Z
Catracalivre.com.br,Joaquim Luppi Fernandes,"Esse era um dos maiores problemas da Tesla, mas Elon Musk acaba de achar uma saída: criaram um sistema para aproveitar o calor do teto panorâmico de vidro capaz de baixar em até 21 graus Celsius a temperatura do carro",https://catracalivre.com.br/noticias/esse-era-um-dos-maiores-problemas-da-tesla-mas-elon-musk-acaba-de-achar-uma-saida-criaram-um-sistema-para-aproveitar-o-calor-do-teto-panoramico-de-vidro-capaz-de-baixar-em-ate-21-graus-celsius-a-tempe/,https://catracalivre.com.br/i/qOXe6fm5rAXRCbHRMcwflbqifPXCXjeumhfLIEIUHbs/rs:fill:1200:630:1/g:sm/q:80/bG9jYWw6Ly8vMjAyNi8wNi90ZXNsYS1tb2RlbC15LWVzdGFjaW9uYWRvLXNvYi0yMDI2MDYyMzE4MTAuanBlZw,2026-06-24T18:48:00Z
Biztoc.com,investors.com,Solar Stock Soars On Power Pact With Tesla For AI Data Centers,https://biztoc.com/x/a71b09d457c849bc,https://biztoc.com/cdn/995/og.png,2026-06-24T18:45:16Z
Globo,,Tesla é processada por acidente fatal no Texas ligado a software de direção,https://valor.globo.com/empresas/noticia/2026/06/24/tesla-processada-por-acidente-fatal-no-texas-ligado-a-software-de-direo.ghtml,https://s2-valor.glbimg.com/UKgigmh3iZyWIy0ghuVDvdfX5OQ=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2019/E/A/LPUBNWSw2UXqK0JQ3Nwg/teslamodel3.jpg,2026-06-24T18:40:14Z
Yahoo Entertainment,財訊快報,立凱-KY建廠因應特斯拉大單、明年7月出貨，2028年挑戰轉盈,https://tw.stock.yahoo.com/news/%E7%AB%8B%E5%87%B1-ky%E5%BB%BA%E5%BB%A0%E5%9B%A0%E6%87%89%E7%89%B9%E6%96%AF%E6%8B%89%E5%A4%A7%E5%96%AE-%E6%98%8E%E5%B9%B47%E6%9C%88%E5%87%BA%E8%B2%A8-2028%E5%B9%B4%E6%8C%91%E6%88%B0%E8%BD%89%E7%9B%88-023530504.html,,2026-06-24T18:35:30Z
La Nacion,LA NACION,"Vaca Muerta, tecnología y el fenómeno Messi: la ciudad que está desplazando a Miami como centro de atención de los argentinos",https://www.lanacion.com.ar/economia/vaca-muerta-tecnologia-y-el-fenomeno-messi-la-ciudad-que-esta-desplazando-a-miami-como-centro-de-nid24062026/,https://www.lanacion.com.ar/resizer/v2/southlake-en-WB5FR2CBNNH43F3P3AEK2SWNCY.png?auth=78df3eabbe1b92a65ade69458ec7f65c1f7387e8d1947da4a37a4b519eea12e6&width=1200&height=800&quality=70&smart=true,2026-06-24T18:33:40Z
Crypto Briefing,Editorial Team,Elon Musk loses trillionaire status as SpaceX shares tumble nearly 30%,https://cryptobriefing.com/elon-musk-loses-trillionaire-status-spacex/,https://static.cryptobriefing.com/wp-content/uploads/2026/06/24142559/elon-musk-starship-profile-2-800x420.jpeg,2026-06-24T18:26:06Z
Jalopnik,staff@jalopnik.com (Andy Kalmowitz),Tesla And Jeep Stand Out As The Only American Automakers In The Top 10 Of This Year's 'American-Made Index',https://www.jalopnik.com/2200039/tesla-jeep-america-automaker-top-10/,https://www.jalopnik.com/img/gallery/tesla-and-jeep-stand-out-as-the-only-american-automakers-in-the-top-10-of-this-years-american-made-index/l-intro-1782238641.jpg,2026-06-24T18:25:00Z
Diariobitcoin.com,Canuto,Slate fija en USD $24.950 el precio base de su pickup eléctrica y sube la autonomía a 205 millas,https://www.diariobitcoin.com/noticias/slate-fija-en-usd-24-950-el-precio-base-de-su-pickup-electrica-y-sube-la-autonomia-a-205-millas/,https://diariobitcoin.b-cdn.net/wp-content/uploads/2026/06/canuto-imagine-1782325392.jpg,2026-06-24T18:23:20Z
Biztoc.com,finance.yahoo.com,"Stocks making big moves yesterday: GoDaddy, Micron, AMN Healthcare Services, Tesla, and Broadcom",https://biztoc.com/x/fee5503009d7e6f1,https://biztoc.com/cdn/fee5503009d7e6f1_s.webp,2026-06-24T18:17:22Z
Biztoc.com,breakingthenews.net,NTSB probes Tesla over fatal crash,https://biztoc.com/x/ebeb516634c20935,https://biztoc.com/cdn/ebeb516634c20935_s.webp,2026-06-24T18:15:10Z
Electrek,Reinette LeJeune,"Prime Day-2 Deals: Bluetti Prime Day Sale with exclusive new power station lows, Segway Navimow X4 robot mower lows, more",http://electrek.co/2026/06/24/bluetti-prime-day-power-stations-segway-navimow-robot-mower-more/,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2026/06/Bluetti-Segway-Navimow-and-Scooters-Beatbot-GDs-FI.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2026-06-24T18:00:00Z
