source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Www.nrc.nl'}",Wouter van Noort,Is dit dan die potentiële Europese ‘AI-kampioen’? Nijmeegse ondernemer krijgt mega-investering van onder meer Jeff Bezos,"Kunstmatige intelligentie: General Intuition wordt door een grote nieuwe investering gewaardeerd op 2,3 miljard dollar. De start-up bouwt modellen waarmee robots in de echte wereld leren bewegen. „Dit wordt de volgende generatie van AI.”",https://www.nrc.nl/nieuws/2026/06/25/is-dit-dan-die-potentiele-europese-ai-kampioennijmeegse-ondernemer-krijgt-mega-investering-van-onder-meer-jeff-bezos-a4930907,https://images.nrc.nl/lKRqLeXldD7DQf-rrbqXPzvPC0E=/1200x627/smart/filters:no_upscale()/s3/static.nrc.nl/wp-content/uploads/2026/06/24134412/250626ECO_2034710769_pim.jpg,2026-06-25T04:00:00Z,Wat doe je om te vieren dat je bedrijf net een paar miljard waard is geworden? AI-ondernemer Pim de Witte weet wel hoe je een feestje bouwt: Meteen zoveel mogelijk GPUs kopen. Het eerste wat hij deed… [+8160 chars]
"{'id': None, 'name': 'Blessthisstuff.com'}",Bless This Stuff,Slate Auto Electric Truck,"The most affordable truck in America is electric, starts at $24,950, and strips away everything you don't need so you can add back only what you do. The Slate Truck is backed by Amazon, built in Indiana, and has over 180,000 reservations from people who decid…",https://www.blessthisstuff.com/stuff/vehicles/cars/slate-auto-electric-truck/,https://www.blessthisstuff.com/imagens/stuff/slate-auto-electric-truck.jpg,2026-06-25T04:00:00Z,"The most affordable truck in America is electric, starts at $24,950, and strips away everything you don't need so you can add back only what you do. The Slate Truck is backed by Amazon, built in Indi… [+2630 chars]"
"{'id': 'globo', 'name': 'Globo'}",,"Honda, Nissan e Mitsubishi negociam padronizar componente eletrônico para reduzir custos","Honda, Nissan e Mitsubishi entraram em negociações finais para a padronização das unidades de controle eletrônico (ECUs) de seus futuros veículos, segundo apurou o “Nikkei Asia”.

As montadoras japonesas pretendem desenvolver carros com preços competitivos po…",https://valor.globo.com/empresas/noticia/2026/06/25/honda-nissan-e-mitsubishi-negociam-padronizar-componente-eletrnico-para-reduzir-custos.ghtml,https://s2-valor.glbimg.com/Oz53_Y4uQOZ4zTFQ0SP6GOuRYgM=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/Q/R/glk1R8RemUAaWm2Snr7Q/whatsapp-image-2024-12-23-at-14.42.07.jpeg,2026-06-25T03:51:15Z,"Honda, Nissan e Mitsubishi entraram em negociações finais para a padronização das unidades de controle eletrônico (ECUs) de seus futuros veículos, segundo apurou o Nikkei Asia.
 As montadoras japone… [+2525 chars]"
"{'id': None, 'name': 'Autobild.de'}",AUTO BILD,Die besten Elektroautos: Warum der Skoda Elroq der Maßstab ist,Alltagstaugliches Raumangebot und fairer Preis: Der Skoda Elroq sichert sich die AUTO BILD-Krone bei den E-Autos bis 45.000 Euro. Auf den Plätzen bildet sich die ganze Vielfalt des Angebots ab.,https://www.autobild.de/rankings/auto-bild-bestenliste-elektroautos-bis-45.000-euro-28530527.html,https://i.auto-bild.de/ir_img/4/0/3/9/9/7/9/Skoda-Elroq-85-2869-2400x1348-0140195800c587fc.jpg?impolicy=og_images,2026-06-25T03:35:00Z,"Inhaltsverzeichnis öffnen 
Fast jeder fünfte Neuwagen hierzulande summte im letzten Jahr als E-Auto aus dem Showroom (Anteil BEV an den Pkw-Neuzulassungen 19,1 Prozent). Und inzwischen finden sich d… [+5162 chars]"
"{'id': None, 'name': 'Mail.ru'}",Ирина Пятина,Аутодафе-2030: каковы шансы Volkswagen Group на перерождение в огне сокращений,"К 2030 году концерн Volkswagen (VW) снизит производство на 1 млн автомобилей. В совете директоров VW считают, что автогигант находится в угрожающем его существованию положении. Тем временем топ-менеджмент декларирует цель — стать «самым привлекательным автопр…",https://news.mail.ru/economics/71396162/,https://news.mail.ru/social_preview/71396162/?time=2626788ff0130b22932d79daf1e3658f,2026-06-25T03:01:12Z,"«  », — Volkswagen Group   18  2026 .       2025  28,4%, €1,56 .   2025  —  41%.
  ,   — 2026 1,95  (  7% ,   )   2,16 .      — 20%   9% .   (+3%),   (+7%)    (+1%).
  2026  19 . ,   .  28 .  2030 … [+1302 chars]"
"{'id': None, 'name': 'Www.e15.cz'}",Jiří Liebreich,"Volkswagen propouští, Škoda vydělává, ale jak dlouho? Elektromobily míchají kartami","Škoda Auto se zařadila k nejvýdělečnějším automobilkám nejen ve svém segmentu. 
Úspěch opřela především o spalovací vozy, největší marže generovala hlavně na velkých SUV. 
Teď ji čeká náročný úkol: vydělávat stejnou měrou i na elektromobilech.",https://www.e15.cz/byznys/cesky-a-evropsky-autoprumysl/volkswagen-propousti-skoda-vydelava-ale-jak-dlouho-elektromobily-michaji-kartami-1433818,https://1884403144.rsc.cdn77.org/foto/skoda-peaq-skoda-peaq/MTIwMHg2MzAvZmlsdGVyczpub191cHNjYWxlKDEpOndhdGVybWFyayhodHRwczovL2ltZy5jbmNlbnRlci5jei9kaXN0L2Fzc2V0cy9lMTUvd2F0ZXJtYXJrLWUxNS5wbmcsLTEwLDEwLDApL2ltZw/9886258.jpg?v=0&st=xOcYT2EcDx89YMetC7rhWTtQCCcG-Eq4QDXeaBJrsrQ&ts=1600812000&e=0,2026-06-25T03:00:00Z,"Úspn vykroila do éry elektrické, nejnáronjí úkol ale kodu Auto teprve eká. Mladoboleslavská automobilka má za sebou runé dny. V úterý odprezentovala svtu svj dosud nejvtí a nejdraí model Peaq, ped ms… [+4675 chars]"
"{'id': None, 'name': 'Lavozdegalicia.es'}",luis carlos llera,Faltan conductores de taxi en Vigo: pólizas de hasta 5.400 euros frenan las contrataciones,Los profesionales del sector culpan a los seguros del déficit de coches en algunas franjas horarias,https://www.lavozdegalicia.es/noticia/vigo/vigo/2026/06/25/faltan-conductores-taxi-vigo-polizas-5400-euros-frenan-contrataciones/0003_202606V25C1991.htm,https://img.lavdg.com/sc/CLnPwSwbZjm-0GjLOhTE1QU8qZ8=/1280x/2026/06/24/00121782318782378444719/Foto/VJ25C1F1_183128.jpg,2026-06-25T03:00:00Z,La Cooperativa de Taxis de Vigo constata que la subida de los precios de los seguros está afectando al sector. Hay menos conductores disponibles para los turnos porque los profesionales con licencia … [+4975 chars]
"{'id': None, 'name': 'Slashdot.org'}",feedfeeder,Elon Musk loses trillionaire status after tech sell-off erases billions from fortune - Fox Business,Elon Musk loses trillionaire status after tech sell-off erases billions from fortuneFox Business Elon Musk loses trillionaire status as global tech rout hits SpaceXBBC Elon Musk loses trillionaire status as SpaceX and Tesla stock dropsThe Guardian SpaceX Stoc…,https://slashdot.org/firehose.pl?op=view&amp;id=184074178,,2026-06-25T02:32:35Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
"{'id': 'next-big-future', 'name': 'Next Big Future'}",Brian Wang,Merging SpaceX and Tesla Will Win AGI and Make More Money for Tesla Investors,"SpaceX + xAI + Tesla to WIN AGI Not Robotaxi. AGI supremacy. 2. Why merge at all? Because AI is WAY BIGGER than Robotaxi. Merging creates:$140B+ combined cash for AI spending Frictionless capital allocation (no board votes, no transfer pricing, no negotiation…",https://www.nextbigfuture.com/2026/06/merging-spacex-and-tesla-will-win-agi-and-make-more-money-for-tesla-investors.html,https://nextbigfuture.s3.amazonaws.com/uploads/2026/06/Screenshot-2026-06-24-at-7.08.02-PM.jpg,2026-06-25T02:19:15Z,"SpaceX + xAI + Tesla to WIN AGI
Not Robotaxi. AGI supremacy.
2. Why merge at all?
Because AI is WAY BIGGER than Robotaxi.
Merging creates:$140B+ combined cash for AI spendingFrictionless capital … [+3325 chars]"
"{'id': None, 'name': 'Slickdeals.net'}",dealz4realz4realz,Prime Members: UGREEN Phone Holder for Tesla Model 3 and Y $16.15 & More + Free S&H,"*UGREEN GROUP LIMITED via Amazon* has *UGREEN Phone Holder for Tesla Model 3 and Y * [amazon.com]on *sale for $16.14*. Shipping is free w/ Prime or on orders +$35. 
 
_Also Available:_ 
*UGREEN Car...",https://slickdeals.net/f/19659834-ugreen-phone-holder-for-tesla-model-3-and-y-16-14-more-free-shipping,https://slickdeals.net/attachment/3/0/6/4/8/2/2/0/450x450/20758239.thumb,2026-06-25T02:13:22Z,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]"
"{'id': None, 'name': 'Wwwhatsnew.com'}",Natalia Polo,Robot.com lanza el R-noid: el humanoide con ruedas que ya trabaja en restaurantes y almacenes sin prometer ciencia ficción,"La mayoría de los humanoides de 2026 viven en laboratorios, en vídeos cuidadosamente editados o en plantas piloto de coches de lujo. El R-noid de Robot.com no. Con menos de 40 unidades desplegadas en una docena de clientes reales, el robot lanzado el 22 de ju…",https://wwwhatsnew.com/2026/06/25/robot-com-r-noid-humanoide-ruedas-automate-2026/,https://wwwhatsnew.com/wp-content/uploads/2026/06/wwwhatsnew256.jpg,2026-06-25T02:00:52Z,"La mayoría de los humanoides de 2026 viven en laboratorios, en vídeos cuidadosamente editados o en plantas piloto de coches de lujo. El R-noid de Robot.com no. Con menos de 40 unidades desplegadas en… [+7327 chars]"
"{'id': None, 'name': 'Xataka.com.mx'}",Wilson Vega,En 12 días Elon Musk ha perdido su más reciente título: ya no es el primer billonario del planeta,"Elon Musk perdió -es de suponer que temporalmente- su título de billonario, según el índice de multimillonarios de Bloomberg. Una ola de ventas en mercados globales llevó a las acciones de SpaceX a registrar una fuerte caída y a la fortuna del CEO de Tesla a …",https://www.xataka.com.mx/empresas-y-economia/12-dias-elon-musk-ha-perdido-su-reciente-titulo-no-primer-billonario-planeta,https://i.blogs.es/10bc82/musk/840_560.jpeg,2026-06-25T01:42:21Z,"Elon Musk perdió -es de suponer que temporalmente- su título de billonario, según el índice de multimillonarios de Bloomberg. Una ola de ventas en mercados globales llevó a las acciones de SpaceX a r… [+5252 chars]"
"{'id': None, 'name': 'Technews.tw'}",中央社,SpaceX 賣壓湧現，馬斯克從全球首位兆元富豪寶座跌落,"英國《獨立報》報導，馬斯克（Elon Musk）在成為全球首位兆元（美元）富豪寫下歷史後，不到兩週時間，隨著 SpaceX 與特斯拉股票賣壓湧現，其身家如今已跌回 1 兆美元以下。

根據彭博億萬富翁指數（Bloomberg Billionaires Index），馬斯克在短暫成為史上唯一身家達「13位數」的兆元富豪後，如今其淨資產已跌至9,570億美元左右。

馬斯克旗下太空探索科技公司（SpaceX）在6月12日重量級上市，投資人熱情推動該公司估值超過2兆美元，使得馬斯克成為全球首位兆元富豪，身家一度達1…",https://finance.technews.tw/2026/06/25/spacex-selling-pressure-elon-musk-drops-worlds-first-trillionaire/,https://img.technews.tw/wp-content/uploads/2024/09/10090654/shutterstock_2318800287.jpg,2026-06-25T01:10:00Z,"Elon Musk SpaceX 1 
Bloomberg Billionaires Index139,570
SpaceX61221.1
SpaceX
SpaceXAITesla225.8%
AJ BellDanni Hewson
shutterstock"
"{'id': None, 'name': 'Thoughtcatalog.com'}",Holden Desalles,"Spacex Got the Worst Possible Environmental Grade Right Before Its IPO, Putting It in the Same Tier MSCI Gave Putin’s Russia After It Invaded Ukraine","Elon Musk’s response to SpaceX getting the lowest possible ESG rating: “Unfortunately, electric rockets are impossible.” The grade came down one day before SpaceX’s IPO, courtesy of MSCI, the global index provider whose Environmental, Social, and Governance s…",https://thoughtcatalog.com/holden-desalles/2026/06/spacex-got-the-worst-possible-environmental-grade-right-before-its-ipo-putting-it-in-the-same-tier-msci-gave-putins-russia-after-it-invaded-ukraine/,https://thoughtcatalog.com/wp-content/uploads/2026/06/spacex-got-the-worst-possible-environmental-grade-right-before-its-ipo-putting-i.png?w=1536&h=768&crop=1,2026-06-25T00:54:51Z,"Elon Musk’s response to SpaceX getting the lowest possible ESG rating: “Unfortunately, electric rockets are impossible.”
The grade came down one day before SpaceX’s IPO, courtesy of MSCI, the global… [+2099 chars]"
"{'id': None, 'name': 'El Financiero'}",Bloomberg / Peter Coy,Los años veinte fueron de auge tras la pandemia… y ojalá pase de nuevo,Los años veinte fueron de auge tras la pandemia… y ojalá pase de nuevo,https://www.elfinanciero.com.mx/bloomberg-businessweek/los-anos-veinte-fueron-de-auge-tras-la-pandemia-y-ojala-pase-de-nuevo/,https://www.elfinanciero.com.mx/resizer/v2/P2SVAGIUTGHBYEWIH4SRIYYYIQ.jpg?smart=true&auth=1d8d918ebd62aa21b192e51b2dc38e6be414f17ff7c96846c9bd760b8d649ef5&width=1200&height=630,2026-06-25T00:54:41Z,"Hacía frío y algo de viento, de pie frente al Capitolio, el recién investido presidente pidió ""una nueva unidad de espíritu y propósito"" para articular a una nación sacudida por la pandemia y el alto… [+16777 chars]"
"{'id': None, 'name': 'Crypto Briefing'}",Editorial Team,SpaceX executes massive IPO and explores merger with Tesla amid AI ambitions,"SpaceX's IPO and potential Tesla merger highlight the evolving landscape of tech giants leveraging AI, posing both growth opportunities and market risks.
The post SpaceX executes massive IPO and explores merger with Tesla amid AI ambitions appeared first on C…",https://cryptobriefing.com/spacex-ipo-tesla-merger-ai-ambitions/,https://static.cryptobriefing.com/wp-content/uploads/2026/06/24203524/the-spacex-falcon-9-rocket-booster-is-seen-just-seconds-befo-78-800x420.jpeg,2026-06-25T00:35:32Z,"SpaceX raised $75 billion at $135 per share on Nasdaq, briefly crossing a $2 trillion market cap before a sharp pullback triggered fresh questions about a potential Tesla merger The world’s most anti… [+2223 chars]"
"{'id': None, 'name': 'Tinhte.vn'}","no-reply@tinhte.vn (cuhiep), cuhiep",Elon Musk đã mất danh hiệu tỉ phú nghìn tỉ (trillionaire) chỉ sau hơn một tuần trở thành người...,"Elon Musk đã mất danh hiệu tỉ phú nghìn tỉ (trillionaire) chỉ sau hơn một tuần trở thành người đầu tiên trên thế giới đạt mốc này. Theo Bloomberg Billionaires Index, tài sản ròng của ông giảm xuống còn khoảng 957 tỷ USD tính đến ngày 24/6/2026.",https://tinhte.vn/thread/elon-musk-da-mat-danh-hieu-ti-phu-nghin-ti-trillionaire-chi-sau-hon-mot-tuan-tro-thanh-nguoi.4155112/,https://photo2.tinhte.vn/data/attachment-files/2026/06/9048617_elonmusk.jpg,2026-06-24T23:58:56Z,"Elon Musk ã mt danh hiu t phú nghìn t (trillionaire) ch sau hn mt tun tr thành ngi u tiên trên th gii t mc này. Theo Bloomberg Billionaires Index, tài sn ròng ca ông gim xung còn khong 957 t USD tính… [+830 chars]"
"{'id': None, 'name': 'Digitimes'}",DIGITIMES,SK Group to meet Tesla and SpaceX leadership to pursue AI-infrastructure and memory partnerships,"SK Group chairman Chey Tae-won is planning to meet Tesla and SpaceX leadership in the US at the end of June 2026 to advance cooperation on next-generation AI infrastructure, memory supply, and data-center projects, South Korean outlet Ddaily reported, citing …",https://www.digitimes.com/news/a20260624PD234/sk-group-spacex-tesla-xai.html,https://img.digitimes.com/newsshow/20260624pd234_files/1_2b.jpg,2026-06-24T23:51:07Z,"SK Group chairman Chey Tae-won is planning to meet Tesla and SpaceX leadership in the US at the end of June 2026 to advance cooperation on next-generation AI infrastructure, memory supply, and data-c… [+44 chars]"
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,Is Tesla Stock Better Than SpaceX? The Answer Might Surprise You,"Space Exploration Technologies (NASDAQ: SPCX) successfully executed one of the largest IPOs in history on June 12. Even after a the stock tumbled this week, SpaceX's valuation is more than Tesla (NASDAQ: TSLA), another trillion-dollar business led by Elon Mus…",https://biztoc.com/x/0d3133684a2b73cf,https://biztoc.com/cdn/0d3133684a2b73cf_s.webp,2026-06-24T23:38:04Z,"Space Exploration Technologies (NASDAQ: SPCX) successfully executed one of the largest IPOs in history on June 12. Even after a the stock tumbled this week, SpaceX's valuation is more than Tesla (NAS… [+150 chars]"
"{'id': None, 'name': 'Biztoc.com'}",bbc.co.uk,Texas family sues Tesla over fatal crash into home,"Published
A Texas woman is suing Tesla and a driver for at least $1m (£759,000) in damages after one of the electric vehicles crashed into her family home, killing her mother
Jennifer Barbour filed her lawsuit in a local court on Tuesday, just days after her …",https://biztoc.com/x/7c0bd179c77e9cf1,https://biztoc.com/cdn/7c0bd179c77e9cf1_s.webp,2026-06-24T23:20:08Z,"PublishedA Texas woman is suing Tesla and a driver for at least $1m (£759,000) in damages after one of the electric vehicles crashed into her family home, killing her motherJennifer Barbour filed her… [+138 chars]"
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,"Slate Auto's Radically Simple Electric Truck Starts At $24,950","Slate Auto says its stripped-down electric pickup will start at $24,950 before fees, with the base model's estimated range increased from 150 to about 205 miles. The company has started taking preorders on Wednesday. ""The aggressive pricing -- half the averag…",https://tech.slashdot.org/story/26/06/24/2113207/slate-autos-radically-simple-electric-truck-starts-at-24950,https://a.fsdn.com/sd/topics/transportation_64.png,2026-06-24T23:00:00Z,"The price reveal comes more than a year after Slate Auto emerged from stealth. Since then, the company has been steadily detailing the extremely basic, transforming EV, which starts as a two-seater p… [+1032 chars]"
"{'id': None, 'name': 'Bringatrailer.com'}",bringatrailer,1966 Fiat 500F EV Conversion,"This 1966 Fiat 500F underwent a repaint in beige as well as an interior re-trim in brown vinyl with ivory accents as part of a refurbishment completed in Italy. Chassis 110F1107945 was sold on BaT in May 2019 and later brought to the US, where it underwent an…",https://bringatrailer.com/listing/1966-fiat-500f-4/,https://bringatrailer.com/wp-content/uploads/2025/05/IMG_8676-copy-2026-06-23-7qn-36063-scaled.jpeg,2026-06-24T22:50:13Z,This 1966 Fiat 500F underwent a repaint in beige as well as an interior re-trim in brown vinyl with ivory accents as part of a refurbishment completed in Italy. Chassis 110F1107945 was sold on BaT in… [+2674 chars]
"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Texas family sues Tesla over fatal crash into home,A woman in her 70s was killed after a Tesla crashed directly into the family’s home.,https://www.bbc.co.uk/news/articles/c8x2rzke05yo,https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/14c8/live/fcfc06d0-7017-11f1-9ca7-8b09da4b9ec2.jpg,2026-06-24T22:33:56Z,"A Texas woman is suing Tesla and a driver for at least $1m (£759,000) in damages after one of the electric vehicles crashed into her family home, killing her mother
Jennifer Barbour filed her lawsui… [+2262 chars]"
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,"Stock Market Today, June 24: Sunrun Jumps After Announcing Deal With Tesla and Renew Home for 16 Gigawatts of Flexible Power","Stock Market Today, June 24: Sunrun Jumps After Announcing Deal With Tesla and Renew Home for 16 Gigawatts of Flexible Power
Sunrun (NASDAQ:RUN), a residential solar and battery subscription services provider, closed at $14.41, up 12.53%. Sunrun rose after an…",https://biztoc.com/x/6be9bce9e8b5d94b,https://biztoc.com/cdn/6be9bce9e8b5d94b_s.webp,2026-06-24T22:21:48Z,"Stock Market Today, June 24: Sunrun Jumps After Announcing Deal With Tesla and Renew Home for 16 Gigawatts of Flexible PowerSunrun (NASDAQ:RUN), a residential solar and battery subscription services … [+142 chars]"
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,"Shares Skyrocket, What You Need To Know","What Happened?
Shares of residential solar energy company Sunrun (NASDAQ:RUN) jumped 19.2% in the afternoon session after the company announced a partnership with Tesla and Renew Home to provide more than 16 gigawatts of flexible energy capacity to utilities …",https://biztoc.com/x/400a8ada0440b1f3,https://biztoc.com/cdn/400a8ada0440b1f3_s.webp,2026-06-24T22:06:33Z,What Happened?Shares of residential solar energy company Sunrun (NASDAQ:RUN) jumped 19.2% in the afternoon session after the company announced a partnership with Tesla and Renew Home to provide more … [+151 chars]
